"Start Time (GMT)","End Time (GMT)","Service","Value"
"161/00:50:05","161/01:33:35","KU AVAIL","true"
"161/01:00:15","161/01:33:35","S AVAIL","true"
"161/01:33:55","161/02:14:55","KU AVAIL","true"
"161/01:33:55","161/02:14:55","S AVAIL","true"
"161/02:15:15","161/02:37:40","KU AVAIL","true"
"161/02:15:15","161/02:37:40","S AVAIL","true"
"161/02:38:00","161/03:12:53","KU AVAIL","true"
"161/02:38:00","161/03:12:53","S AVAIL","true"
"161/03:13:13","161/03:56:17","KU AVAIL","true"
"161/03:13:13","161/03:56:17","S AVAIL","true"
"161/03:56:37","161/04:15:03","KU AVAIL","true"
"161/03:56:37","161/04:15:03","S AVAIL","true"
"161/04:15:23","161/04:51:34","KU AVAIL","true"
"161/04:15:23","161/04:51:34","S AVAIL","true"
"161/04:51:54","161/05:34:59","KU AVAIL","true"
"161/04:51:54","161/05:34:59","S AVAIL","true"
"161/05:35:19","161/05:43:33","KU AVAIL","true"
"161/05:35:19","161/05:43:33","S AVAIL","true"
"161/05:43:53","161/06:28:14","KU AVAIL","true"
"161/05:43:53","161/06:28:14","S AVAIL","true"
"161/06:28:34","161/07:11:13","KU AVAIL","true"
"161/06:28:34","161/07:13:55","S AVAIL","true"
"161/07:20:27","161/08:10:06","S AVAIL","true"
"161/07:26:54","161/08:10:06","KU AVAIL","true"
"161/08:10:26","161/08:44:46","KU AVAIL","true"
"161/08:10:26","161/08:45:45","S AVAIL","true"
"161/08:46:44","161/08:50:46","S AVAIL","true"
"161/08:53:47","161/08:55:34","S AVAIL","true"
"161/08:59:35","161/09:06:31","S AVAIL","true"
"161/09:01:31","161/09:03:48","KU AVAIL","true"
"161/09:04:38","161/09:06:54","KU AVAIL","true"
"161/09:07:44","161/09:49:53","KU AVAIL","true"
"161/09:08:24","161/09:49:53","S AVAIL","true"
"161/09:50:13","161/10:29:51","KU AVAIL","true"
"161/09:50:13","161/10:23:15","S AVAIL","true"
"161/10:24:17","161/10:29:17","S AVAIL","true"
"161/10:41:57","161/10:47:54","S AVAIL","true"
"161/10:43:23","161/10:45:41","KU AVAIL","true"
"161/10:50:31","161/11:29:14","S AVAIL","true"
"161/10:51:08","161/11:29:14","KU AVAIL","true"
"161/11:29:34","161/12:09:31","KU AVAIL","true"
"161/11:29:34","161/12:00:18","S AVAIL","true"
"161/12:25:34","161/13:07:30","S AVAIL","true"
"161/12:31:47","161/13:07:30","KU AVAIL","true"
"161/13:07:50","161/13:51:37","KU AVAIL","true"
"161/13:07:50","161/13:42:20","S AVAIL","true"
"161/13:53:56","161/13:58:08","S AVAIL","true"
"161/14:04:23","161/14:48:40","S AVAIL","true"
"161/14:10:26","161/14:48:40","KU AVAIL","true"
"161/14:49:00","161/15:34:14","KU AVAIL","true"
"161/14:49:00","161/15:25:50","S AVAIL","true"
"161/15:32:14","161/15:33:35","S AVAIL","true"
"161/15:43:02","161/16:30:34","S AVAIL","true"
"161/15:51:39","161/16:26:59","KU AVAIL","true"
"161/16:30:54","161/17:06:28","KU AVAIL","true"
"161/16:30:54","161/17:06:24","S AVAIL","true"
"161/17:19:07","161/18:03:58","S AVAIL","true"
"161/17:28:28","161/18:03:58","KU AVAIL","true"
"161/18:04:18","161/18:50:30","S AVAIL","true"
"161/18:08:41","161/18:44:15","KU AVAIL","true"
"161/18:52:45","161/18:54:31","S AVAIL","true"
"161/18:56:21","161/18:57:38","S AVAIL","true"
"161/18:57:07","161/19:46:42","KU AVAIL","true"
"161/19:06:17","161/19:46:42","S AVAIL","true"
"161/19:47:02","161/20:28:11","KU AVAIL","true"
"161/19:47:02","161/20:26:17","S AVAIL","true"
"161/20:35:09","161/21:17:40","S AVAIL","true"
"161/20:36:07","161/20:37:27","KU AVAIL","true"
"161/20:39:03","161/21:17:40","KU AVAIL","true"
"161/21:18:00","161/22:04:17","KU AVAIL","true"
"161/21:18:00","161/22:03:04","S AVAIL","true"
"161/22:17:14","161/23:02:01","S AVAIL","true"
"161/22:18:56","161/22:20:17","KU AVAIL","true"
"161/22:21:18","161/23:02:01","KU AVAIL","true"
"161/23:02:21","161/23:43:11","KU AVAIL","true"
"161/23:02:21","161/23:43:53","S AVAIL","true"
"162/00:00:33","162/00:03:55","S AVAIL","true"
"162/00:01:18","162/00:47:04","KU AVAIL","true"
"162/00:06:31","162/00:47:04","S AVAIL","true"
"162/00:47:24","162/01:25:49","KU AVAIL","true"
"162/00:47:24","162/01:27:00","S AVAIL","true"
"162/01:40:29","162/01:43:01","S AVAIL","true"
"162/01:45:11","162/01:46:43","S AVAIL","true"
"162/01:49:39","162/02:24:46","S AVAIL","true"
"162/01:50:06","162/02:24:46","KU AVAIL","true"
"162/02:25:06","162/03:07:41","KU AVAIL","true"
"162/02:25:06","162/03:08:40","S AVAIL","true"
"162/03:18:23","162/04:03:01","S AVAIL","true"
"162/03:27:37","162/04:03:01","KU AVAIL","true"
"162/04:03:21","162/04:48:13","KU AVAIL","true"
"162/04:03:21","162/04:47:12","S AVAIL","true"
"162/04:56:14","162/05:40:58","S AVAIL","true"
"162/05:01:12","162/05:40:58","KU AVAIL","true"
"162/05:41:18","162/06:27:21","KU AVAIL","true"
"162/05:41:18","162/06:25:40","S AVAIL","true"
"162/06:32:33","162/07:07:24","S AVAIL","true"
"162/06:38:38","162/07:13:04","KU AVAIL","true"
"162/07:13:24","162/08:03:48","S AVAIL","true"
"162/07:22:05","162/07:57:33","KU AVAIL","true"
"162/08:06:04","162/08:07:44","S AVAIL","true"
"162/08:11:02","162/08:18:13","S AVAIL","true"
"162/08:19:21","162/09:00:46","KU AVAIL","true"
"162/08:19:36","162/09:00:46","S AVAIL","true"
"162/09:01:06","162/09:34:48","KU AVAIL","true"
"162/09:01:06","162/09:35:18","S AVAIL","true"
"162/09:36:02","162/09:41:46","KU AVAIL","true"
"162/09:36:18","162/09:40:00","S AVAIL","true"
"162/09:52:39","162/09:58:43","S AVAIL","true"
"162/09:53:57","162/09:56:20","KU AVAIL","true"
"162/10:01:06","162/10:41:40","S AVAIL","true"
"162/10:01:57","162/10:41:40","KU AVAIL","true"
"162/10:42:00","162/11:20:54","KU AVAIL","true"
"162/10:42:00","162/11:12:21","S AVAIL","true"
"162/11:35:50","162/11:43:09","S AVAIL","true"
"162/11:41:59","162/11:43:26","KU AVAIL","true"
"162/11:44:22","162/12:18:49","KU AVAIL","true"
"162/11:44:32","162/12:18:49","S AVAIL","true"
"162/12:19:09","162/13:02:13","KU AVAIL","true"
"162/12:19:09","162/12:53:04","S AVAIL","true"
"162/13:06:19","162/13:09:00","S AVAIL","true"
"162/13:16:19","162/13:59:49","S AVAIL","true"
"162/13:22:38","162/13:59:49","KU AVAIL","true"
"162/14:00:09","162/14:45:37","KU AVAIL","true"
"162/14:00:09","162/14:36:18","S AVAIL","true"
"162/14:55:04","162/15:40:55","KU AVAIL","true"
"162/14:55:12","162/15:42:47","S AVAIL","true"
"162/15:43:07","162/16:25:23","KU AVAIL","true"
"162/15:43:07","162/16:18:54","S AVAIL","true"
"162/16:19:55","162/16:24:58","S AVAIL","true"
"162/16:31:26","162/17:15:33","S AVAIL","true"
"162/16:40:46","162/17:15:33","KU AVAIL","true"
"162/17:15:53","162/18:02:48","S AVAIL","true"
"162/17:20:53","162/17:55:54","KU AVAIL","true"
"162/18:05:04","162/18:06:49","S AVAIL","true"
"162/18:08:30","162/18:15:06","S AVAIL","true"
"162/18:17:42","162/18:54:17","S AVAIL","true"
"162/18:18:09","162/18:58:43","KU AVAIL","true"
"162/18:55:14","162/18:58:43","S AVAIL","true"
"162/18:59:03","162/19:40:33","KU AVAIL","true"
"162/18:59:03","162/19:38:54","S AVAIL","true"
"162/19:47:37","162/20:29:41","KU AVAIL","true"
"162/19:47:47","162/19:48:49","S AVAIL","true"
"162/19:53:01","162/20:29:41","S AVAIL","true"
"162/20:30:01","162/21:16:36","KU AVAIL","true"
"162/20:30:01","162/21:15:26","S AVAIL","true"
"162/21:27:56","162/22:11:54","S AVAIL","true"
"162/21:29:39","162/21:31:00","KU AVAIL","true"
"162/21:32:07","162/22:11:54","KU AVAIL","true"
"162/22:12:14","162/22:30:50","KU AVAIL","true"
"162/22:12:14","162/22:55:38","S AVAIL","true"
"162/22:45:00","162/22:54:44","KU AVAIL","true"
"162/23:11:24","162/23:55:11","S AVAIL","true"
"162/23:12:25","162/23:13:36","KU AVAIL","true"
"162/23:15:35","162/23:55:11","KU AVAIL","true"
"162/23:55:31","163/00:36:32","KU AVAIL","true"
"162/23:55:31","163/00:37:47","S AVAIL","true"
"163/00:53:07","163/01:35:53","KU AVAIL","true"
"163/01:02:14","163/01:35:53","S AVAIL","true"
"163/01:36:13","163/02:19:08","KU AVAIL","true"
"163/01:36:13","163/02:20:05","S AVAIL","true"
"163/02:30:37","163/03:16:29","S AVAIL","true"
"163/02:39:53","163/03:15:23","KU AVAIL","true"
"163/03:16:49","163/03:59:39","KU AVAIL","true"
"163/03:16:49","163/03:59:47","S AVAIL","true"
"163/04:08:25","163/04:55:01","S AVAIL","true"
"163/04:17:12","163/04:55:01","KU AVAIL","true"
"163/04:55:21","163/05:39:30","KU AVAIL","true"
"163/04:55:21","163/05:37:44","S AVAIL","true"
"163/05:45:15","163/06:18:00","S AVAIL","true"
"163/05:50:34","163/06:25:27","KU AVAIL","true"
"163/06:25:47","163/07:16:03","S AVAIL","true"
"163/06:34:29","163/07:09:50","KU AVAIL","true"
"163/07:18:17","163/07:19:57","S AVAIL","true"
"163/07:28:44","163/07:30:19","S AVAIL","true"
"163/07:30:02","163/08:12:21","KU AVAIL","true"
"163/07:31:24","163/08:12:21","S AVAIL","true"
"163/08:12:41","163/08:46:53","KU AVAIL","true"
"163/08:12:41","163/08:47:00","S AVAIL","true"
"163/09:03:25","163/09:09:22","S AVAIL","true"
"163/09:04:52","163/09:07:11","KU AVAIL","true"
"163/09:11:51","163/09:52:33","S AVAIL","true"
"163/09:12:39","163/09:52:33","KU AVAIL","true"
"163/09:52:53","163/10:32:23","KU AVAIL","true"
"163/09:52:53","163/10:25:15","S AVAIL","true"
"163/10:29:47","163/10:31:45","S AVAIL","true"
"163/10:46:48","163/10:53:37","S AVAIL","true"
"163/10:48:32","163/10:50:28","KU AVAIL","true"
"163/10:55:11","163/11:30:20","KU AVAIL","true"
"163/10:55:43","163/11:30:20","S AVAIL","true"
"163/11:30:40","163/12:13:14","KU AVAIL","true"
"163/11:30:40","163/12:03:58","S AVAIL","true"
"163/12:16:18","163/12:19:44","S AVAIL","true"
"163/12:28:05","163/13:11:11","S AVAIL","true"
"163/12:34:44","163/13:11:11","KU AVAIL","true"
"163/13:11:31","163/13:56:42","KU AVAIL","true"
"163/13:11:31","163/13:47:00","S AVAIL","true"
"163/14:07:16","163/14:55:05","S AVAIL","true"
"163/14:07:35","163/14:55:05","KU AVAIL","true"
"163/14:55:25","163/15:37:19","KU AVAIL","true"
"163/14:55:25","163/15:36:42","S AVAIL","true"
"163/15:44:13","163/16:28:51","S AVAIL","true"
"163/15:53:06","163/16:28:32","KU AVAIL","true"
"163/16:29:11","163/17:09:12","S AVAIL","true"
"163/16:33:04","163/17:07:57","KU AVAIL","true"
"163/17:10:07","163/17:14:03","S AVAIL","true"
"163/17:17:18","163/17:19:08","S AVAIL","true"
"163/17:20:42","163/18:06:17","S AVAIL","true"
"163/17:30:13","163/18:10:54","KU AVAIL","true"
"163/18:07:18","163/18:10:54","S AVAIL","true"
"163/18:11:14","163/18:47:34","KU AVAIL","true"
"163/18:11:14","163/18:51:33","S AVAIL","true"
"163/18:59:19","163/19:16:46","KU AVAIL","true"
"163/19:08:44","163/19:41:15","S AVAIL","true"
"163/19:24:51","163/19:41:15","KU AVAIL","true"
"163/19:41:35","163/20:29:03","KU AVAIL","true"
"163/19:41:35","163/20:27:12","S AVAIL","true"
"163/20:38:46","163/21:22:48","S AVAIL","true"
"163/20:40:17","163/20:41:40","KU AVAIL","true"
"163/20:42:42","163/21:22:48","KU AVAIL","true"
"163/21:23:08","163/22:05:36","KU AVAIL","true"
"163/21:23:08","163/21:39:58","S AVAIL","true"
"163/22:22:11","163/23:06:07","S AVAIL","true"
"163/22:23:35","163/22:24:52","KU AVAIL","true"
"163/22:25:56","163/23:06:07","KU AVAIL","true"
"163/23:06:27","163/23:47:16","KU AVAIL","true"
"163/23:06:27","163/23:48:33","S AVAIL","true"
"164/00:04:50","164/00:47:34","KU AVAIL","true"
"164/00:14:31","164/00:47:34","S AVAIL","true"
"164/00:47:54","164/01:30:15","KU AVAIL","true"
"164/00:47:54","164/01:31:38","S AVAIL","true"
"164/01:42:47","164/02:27:57","S AVAIL","true"
"164/01:52:06","164/02:27:39","KU AVAIL","true"
"164/02:28:17","164/03:10:55","KU AVAIL","true"
"164/02:28:17","164/03:11:30","S AVAIL","true"
"164/03:20:38","164/04:07:04","S AVAIL","true"
"164/03:29:22","164/04:07:04","KU AVAIL","true"
"164/04:07:24","164/04:51:20","KU AVAIL","true"
"164/04:07:24","164/04:49:14","S AVAIL","true"
"164/04:57:23","164/05:46:29","S AVAIL","true"
"164/04:58:48","164/05:00:56","KU AVAIL","true"
"164/05:02:33","164/05:46:29","KU AVAIL","true"
"164/05:46:49","164/06:23:45","KU AVAIL","true"
"164/05:46:49","164/06:28:02","S AVAIL","true"
"164/06:37:26","164/06:44:52","S AVAIL","true"
"164/06:44:20","164/07:25:37","KU AVAIL","true"
"164/06:45:53","164/07:25:37","S AVAIL","true"
"164/07:25:57","164/07:58:24","KU AVAIL","true"
"164/07:25:57","164/07:59:38","S AVAIL","true"
"164/08:00:34","164/08:04:01","S AVAIL","true"
"164/08:14:23","164/08:20:18","S AVAIL","true"
"164/08:22:49","164/09:04:08","S AVAIL","true"
"164/08:23:17","164/09:04:08","KU AVAIL","true"
"164/09:04:28","164/09:44:02","KU AVAIL","true"
"164/09:04:28","164/09:43:23","S AVAIL","true"
"164/09:57:32","164/10:03:36","S AVAIL","true"
"164/10:00:11","164/10:01:15","KU AVAIL","true"
"164/10:06:07","164/10:41:40","S AVAIL","true"
"164/10:06:36","164/10:41:40","KU AVAIL","true"
"164/10:42:00","164/11:24:23","KU AVAIL","true"
"164/10:42:00","164/11:14:46","S AVAIL","true"
"164/11:26:16","164/11:30:25","S AVAIL","true"
"164/11:39:39","164/11:43:26","S AVAIL","true"
"164/11:44:00","164/11:46:12","S AVAIL","true"
"164/11:46:50","164/12:22:29","KU AVAIL","true"
"164/11:48:21","164/12:22:29","S AVAIL","true"
"164/12:22:49","164/13:07:16","KU AVAIL","true"
"164/12:22:49","164/12:57:53","S AVAIL","true"
"164/13:09:24","164/13:13:33","S AVAIL","true"
"164/13:19:23","164/14:03:21","S AVAIL","true"
"164/13:24:29","164/14:03:21","KU AVAIL","true"
"164/14:03:41","164/14:49:03","KU AVAIL","true"
"164/14:03:41","164/14:42:36","S AVAIL","true"
"164/14:44:30","164/14:48:26","S AVAIL","true"
"164/14:56:49","164/15:44:30","S AVAIL","true"
"164/15:05:26","164/15:40:50","KU AVAIL","true"
"164/15:44:50","164/16:20:45","KU AVAIL","true"
"164/15:44:50","164/16:20:51","S AVAIL","true"
"164/16:22:16","164/16:25:20","S AVAIL","true"
"164/16:32:57","164/17:17:50","S AVAIL","true"
"164/16:42:19","164/17:17:50","KU AVAIL","true"
"164/17:18:10","164/18:04:11","S AVAIL","true"
"164/17:22:42","164/17:58:12","KU AVAIL","true"
"164/18:11:09","164/18:55:17","KU AVAIL","true"
"164/18:20:57","164/18:55:17","S AVAIL","true"
"164/18:55:37","164/19:39:41","S AVAIL","true"
"164/18:59:51","164/19:41:45","KU AVAIL","true"
"164/19:49:49","164/20:33:43","S AVAIL","true"
"164/19:51:02","164/19:52:25","KU AVAIL","true"
"164/19:53:27","164/20:33:43","KU AVAIL","true"
"164/20:34:03","164/21:17:11","KU AVAIL","true"
"164/20:34:03","164/21:16:56","S AVAIL","true"
"164/21:32:48","164/22:17:04","S AVAIL","true"
"164/21:34:32","164/21:35:52","KU AVAIL","true"
"164/21:36:53","164/22:17:04","KU AVAIL","true"
"164/22:17:24","164/22:58:03","KU AVAIL","true"
"164/22:17:24","164/22:59:17","S AVAIL","true"
"164/23:16:20","164/23:59:35","KU AVAIL","true"
"164/23:26:11","164/23:59:35","S AVAIL","true"
"164/23:59:55","165/00:41:18","KU AVAIL","true"
"164/23:59:55","165/00:42:34","S AVAIL","true"
"165/00:54:51","165/01:39:10","S AVAIL","true"
"165/01:04:17","165/01:39:10","KU AVAIL","true"
"165/01:39:30","165/02:22:36","KU AVAIL","true"
"165/01:39:30","165/02:23:38","S AVAIL","true"
"165/02:32:21","165/03:17:54","S AVAIL","true"
"165/02:41:36","165/03:17:54","KU AVAIL","true"
"165/03:18:14","165/04:02:57","KU AVAIL","true"
"165/03:18:14","165/04:01:16","S AVAIL","true"
"165/04:09:54","165/04:54:28","KU AVAIL","true"
"165/04:10:02","165/04:54:28","S AVAIL","true"
"165/04:54:48","165/05:36:29","KU AVAIL","true"
"165/04:54:48","165/05:40:07","S AVAIL","true"
"165/05:48:49","165/06:26:54","S AVAIL","true"
"165/05:55:33","165/06:07:27","KU AVAIL","true"
"165/06:27:14","165/07:11:48","S AVAIL","true"
"165/06:35:53","165/07:10:40","KU AVAIL","true"
"165/07:12:48","165/07:16:45","S AVAIL","true"
"165/07:25:33","165/07:32:15","S AVAIL","true"
"165/07:26:33","165/07:29:13","KU AVAIL","true"
"165/07:33:54","165/08:15:55","KU AVAIL","true"
"165/07:34:15","165/08:15:55","S AVAIL","true"
"165/08:16:15","165/08:55:45","KU AVAIL","true"
"165/08:16:15","165/08:49:15","S AVAIL","true"
"165/08:50:16","165/08:55:17","S AVAIL","true"
"165/09:08:07","165/09:14:18","S AVAIL","true"
"165/09:10:20","165/09:11:54","KU AVAIL","true"
"165/09:15:55","165/10:02:05","S AVAIL","true"
"165/09:17:35","165/10:02:05","KU AVAIL","true"
"165/10:02:25","165/10:26:13","S AVAIL","true"
"165/10:14:10","165/10:35:37","KU AVAIL","true"
"165/10:37:13","165/10:41:12","S AVAIL","true"
"165/10:51:02","165/10:53:36","S AVAIL","true"
"165/10:56:29","165/10:58:44","S AVAIL","true"
"165/10:59:16","165/11:33:32","KU AVAIL","true"
"165/10:59:53","165/11:33:32","S AVAIL","true"
"165/11:33:52","165/12:17:20","KU AVAIL","true"
"165/11:33:52","165/12:08:29","S AVAIL","true"
"165/12:21:52","165/12:24:34","S AVAIL","true"
"165/12:30:44","165/13:14:56","S AVAIL","true"
"165/12:36:47","165/13:14:56","KU AVAIL","true"
"165/13:15:16","165/14:00:36","KU AVAIL","true"
"165/13:15:16","165/13:52:00","S AVAIL","true"
"165/13:58:51","165/14:00:00","S AVAIL","true"
"165/14:09:14","165/14:56:55","S AVAIL","true"
"165/14:17:53","165/14:53:10","KU AVAIL","true"
